player.id,age
37224,38
845930,29
839638,36
826169,27
1110369,27
1035986,24
1173167,26
845273,28
954066,25
877980,25
1010126,25
991451,25
796023,32
794373,30
1187376,26
943278,31
1091596,25
936558,26
1544387,20
1126368,26
884301,32
1404526,24
1002387,24
1384367,21
828012,29
826211,27
227946,30
1020141,24
795696,31
358108,29
262911,32
907152,26
75756,34
1154861,20
879346,29
250223,31
237098,30
366592,29
840227,27
322391,31
1489210,19
773409,30
287555,30
9370,43
966869,24
95791,34
287563,29
802719,30
1402850,19
846204,30
886117,29
839712,27
243609,33
124992,35
155995,32
869792,28
243583,32
866469,28
122951,34
839981,28
1464966,20
886363,27
868812,26
243585,32
922573,25
124712,34
84854,35
1174937,20
243529,38
254491,32
885197,29
358548,30
888949,27
946888,27
1064039,25
1035995,25
1016907,25
539792,34
936047,31
1507710,22
2058228,20
837099,31
1014410,26
822684,27
1179164,23
1564998,21
984505,24
1022170,26
1101745,25
991024,30
1049669,25
966059,32
903610,29
1085536,25
1910804,22
902117,30
1415019,22
1518180,22
1470073,27
1210653,24
901907,25
235686,35
1002448,24
896569,29
1103520,26
1019333,27
881307,29
889689,29
1002355,24
917087,25
786186,30
1010634,25
1019312,23
1009476,29
111505,34
1026069,30
1014281,28
825502,34
940057,28
921263,31
976203,25
1154613,24
932316,28
537552,33
1002508,24
1185869,22
1103531,24
927366,26
151440,33
957615,26
856250,27
138024,33
952114,25
825731,27
891442,28
957604,25
1088727,23
963801,24
846122,29
799041,31
280609,30
1403491,23
188307,31
280601,30
963744,24
1144329,23
963084,25
118204,33
1931626,18
109002,36
824139,29
826049,27
